video_title,average_completion_percent,median_completion_percent,views
AMS102_Y1_02_06_D,87.00252100840335,100.0,119
AMS102_Y1_02_07_A,80.30703125,100.0,128
AMS102_Y1_02_07_B,87.68737864077669,100.0,103
AMS102_Y1_02_08,79.32619047619048,100.0,126
AMS102_Y1_02_09_A,85.78260869565217,100.0,115
AMS102_Y1_02_09_B,86.61287128712871,100.0,101
AMS102_Y1_02_09_C,83.43124999999999,100.0,96
AMS102_Y1_02_10_A,36.40459770114942,31.0,87
AMS102_Y1_02_10_B,76.32857142857142,98.85,70
AMS102_Y1_02_10_C,19.603333333333335,11.9,60
AMS102_Y1_02_11_A,84.74939759036144,100.0,83
AMS102_Y1_02_11_B,88.048,100.0,75
AMS102_Y1_02_11_C,89.13194444444444,100.0,72
AMS102_Y1_02_12_A,80.69589041095891,100.0,73
AMS102_Y1_02_12_B,89.02372881355932,100.0,59
AMS102_Y1_02_12_C,88.42545454545454,100.0,55
AMS104LL_Y1_01_01,79.33606060606061,100.0,330
AMS104LL_Y1_01_02,69.86442687747036,96.6,253
AMS104LL_Y1_01_03,73.96774193548387,97.6,217
AMS104LL_Y1_01_04,78.42727272727272,100.0,209
AMS104LL_Y1_01_05,71.18843537414966,100.0,147
AMS104LL_Y1_01_07,77.60384615384615,100.0,104
AMS104LL_Y1_01_08,71.19065420560747,100.0,107
AMS104LL_Y1_01_10,78.81818181818181,100.0,88
AMS104LL_Y1_01_14,71.19275362318841,97.4,69
AMS104LL_Y1_01_15,62.705263157894734,100.0,57
AMS104_Y1_01_01_A,88.66155660377359,100.0,424
AMS104_Y1_01_01_B,91.21108033240996,100.0,361
AMS104_Y1_01_02_A,91.44086021505376,100.0,372
AMS104_Y1_01_02_B,93.6574074074074,100.0,324
AMS104_Y1_01_03_A,86.8516393442623,100.0,366
AMS104_Y1_01_03_B,85.76910828025478,100.0,314
AMS104_Y1_01_04_A,90.83575949367088,100.0,316
AMS104_Y1_01_04_B,85.57,100.0,290
AMS104_Y1_01_05_A,89.54617834394904,100.0,314
AMS104_Y1_01_05_B,90.97773851590107,100.0,283
AMS104_Y1_01_06,79.82310756972112,100.0,251
AMS104_Y1_01_07_A,86.0860759493671,100.0,237
AMS104_Y1_01_07_B,85.00751173708919,100.0,213
AMS104_Y1_01_08_A,89.68550724637682,100.0,207
AMS104_Y1_01_08_B,89.1169312169312,100.0,189
AMS104_Y1_01_08_C,89.89028571428571,100.0,175
AMS104_Y1_01_08_D,85.59588235294117,100.0,170
AMS104_Y1_01_09_A,91.44166666666666,100.0,156
AMS104_Y1_01_09_B,90.34149659863947,100.0,147
AMS104_Y1_01_09_C,87.1965034965035,100.0,143
AMS104_Y1_01_10_A,89.64420289855072,100.0,138
AMS104_Y1_01_10_B,87.44488188976378,100.0,127
AMS104_Y1_01_11_A,80.93045685279188,100.0,197
AMS104_Y1_01_11_B,80.98218390804597,100.0,174
AMS104_Y1_01_12_A,81.40065789473684,100.0,152
AMS104_Y1_01_12_B,83.41984732824427,100.0,131
AMS104_Y1_01_13 A,62.47898550724638,93.5,138
AMS104_Y1_01_13 B,31.704901960784316,19.2,102
AMS104_Y1_01_13 C,24.067816091954025,7.7,87
AMS104_Y1_01_14_A,84.71544715447155,100.0,123
AMS104_Y1_01_14_B,82.16228070175438,100.0,114
AMS104_Y1_01_14_C,86.60520833333334,100.0,96
AMS104_Y1_01_15_A,77.11011235955057,100.0,89
AMS104_Y1_01_15_B,71.66056338028169,100.0,71
ANA201LL_Y2_01_01,72.92056737588652,98.6,282
ANA201LL_Y2_02_02,60.617982456140346,74.7,228
ANA201LL_Y2_02_04,57.778616352201254,75.9,159
ANA201LL_Y2_03_08,60.62971428571429,84.3,175
ANA201LL_Y2_03_13,61.26190476190476,87.1,63
ANA201LL_Y2_03_15,56.15,59.8,50
ANA201LL_Y2_03_16,51.574285714285715,32.8,35
ANA201LL_Y2_03_18,61.24583333333334,87.15,24
ANA201LL_Y2_03_19,37.06666666666667,14.149999999999999,18
ANA201LL_Y2_05_11,58.642857142857146,66.1,77
ANA201_Y2_01_01,89.55078369905956,100.0,319
ANA201_Y2_01_02,34.1,34.1,2
ANA201_Y2_01_02_A,93.52857142857142,100.0,252
ANA201_Y2_01_02_B,92.54340425531915,100.0,235
ANA201_Y2_01_03_A,88.17095238095239,100.0,210
ANA201_Y2_01_03_B,89.20769230769231,100.0,195
ANA201_Y2_01_04,78.08108108108108,100.0,185
ANA201_Y2_01_05_A,89.80377358490567,100.0,106
ANA201_Y2_01_05_B,92.22,100.0,95
ANA201_Y2_01_06_A,87.47341772151898,100.0,79
ANA201_Y2_01_06_B,89.18133333333334,100.0,75
ANA201_Y2_01_07_A,88.08648648648648,100.0,74
ANA201_Y2_01_07_B,83.12432432432432,100.0,74
ANA201_Y2_01_08,87.2394366197183,100.0,71
ANA201_Y2_01_09,85.65614035087718,100.0,57
ANA201_Y2_01_10,78.6906976744186,100.0,43
ANA201_Y2_01_11_A,82.41749999999999,100.0,40
ANA201_Y2_01_11_B,89.22258064516129,100.0,31
ANA201_Y2_01_12_A,85.07222222222222,100.0,36
ANA201_Y2_01_12_B,89.60000000000001,100.0,34
ANA203LL_Y2_01_01,72.71648351648352,100.0,91
ANA203LL_Y2_01_02,55.151315789473685,58.75,76
ANA203LL_Y2_01_03,51.57058823529412,38.3,51
ANA203LL_Y2_01_04,71.89999999999999,100.0,48
ANA203LL_Y2_01_05,66.82631578947368,96.4,38
ANA203LL_Y2_01_06,69.63636363636364,100.0,33
ANA203LL_Y2_01_07,74.47714285714285,100.0,35
ANA203LL_Y2_01_08,68.44117647058823,95.5,34
ANA203LL_Y2_01_09,60.30555555555556,82.30000000000001,36
ANA203LL_Y2_01_10,66.92,100.0,20
ANA203LL_Y2_01_11,86.07894736842105,100.0,19
ANA203LL_Y2_01_12,76.47500000000001,94.15,12
ANA203_Y2_01_01_A,89.83193277310924,100.0,119
ANA203_Y2_01_01_B,91.2925925925926,100.0,108
ANA203_Y2_01_02,82.40196078431373,100.0,102
ANA203_Y2_01_03_A,84.30985915492958,100.0,71
ANA203_Y2_01_03_B,90.52241379310345,100.0,58
ANA203_Y2_01_03_C,83.18070175438596,100.0,57
ANA203_Y2_01_04,77.19375,100.0,80
ANA203_Y2_01_05_A,88.70175438596492,100.0,57
ANA203_Y2_01_05_B,89.90208333333334,100.0,48
ANA203_Y2_01_06,74.56415094339623,100.0,53
ANA203_Y2_01_07_A,83.33454545454545,100.0,55
ANA203_Y2_01_07_B,88.07551020408162,100.0,49
ANA203_Y2_01_08_A,92.58775510204082,100.0,49
ANA203_Y2_01_08_B,87.2826923076923,100.0,52
ANA203_Y2_01_09_A,89.77045454545454,100.0,44
ANA203_Y2_01_09_B,90.64186046511628,100.0,43
ANA203_Y2_01_10_A,88.31944444444444,100.0,36
ANA203_Y2_01_10_B,85.62058823529412,100.0,34
ANA203_Y2_01_11_A,91.56896551724138,100.0,29
ANA203_Y2_01_11_B,91.35925925925925,100.0,27
ANA203_Y2_01_12_A,85.49666666666667,100.0,30
ANA203_Y2_01_12_B,84.675,100.0,28
ANA204LL_Y2_01_01,56.00925925925926,50.0,54
ANA204LL_Y2_02_06,51.23225806451613,38.2,31
ANA204LL_Y2_02_07,54.779411764705884,52.65,34
ANA204LL_Y2_02_08,69.6774193548387,98.5,31
ANA204LL_Y2_02_09,64.575,93.85,28
ANA204LL_Y2_02_10,55.93600000000001,56.9,25
ANA204LL_Y2_02_11,51.57741935483871,39.0,31
ANA204LL_Y2_02_13,71.07272727272726,98.5,22
ANA204LL_Y2_02_14,64.07058823529412,76.9,17
ANA204_LL_Y2_01_03,58.50285714285714,66.1,35
ANA204_LL_Y2_01_04,50.512,50.8,25
ANA204_LL_Y2_01_05,53.575,46.75,32
ANA204_Y2_02_01,90.27714285714285,100.0,70
ANA204_Y2_02_02_A,88.33636363636364,100.0,55
ANA204_Y2_02_02_B,86.1,100.0,49
ANA204_Y2_02_03,97.0,100.0,46
ANA204_Y2_02_04,89.39111111111112,100.0,45
ANA204_Y2_02_05_A,89.95217391304348,100.0,46
ANA204_Y2_02_05_B,96.67073170731707,100.0,41
ANA204_Y2_02_06,88.98181818181818,100.0,44
ANA204_Y2_02_07,92.5025,100.0,40
ANA204_Y2_02_08_A,92.08333333333333,100.0,36
ANA204_Y2_02_08_B,91.50967741935484,100.0,31
ANA204_Y2_02_09_A,84.62439024390244,100.0,41
ANA204_Y2_02_09_B,86.21515151515152,100.0,33
ANA204_Y2_02_10_A,94.78571428571429,100.0,35
ANA204_Y2_02_10_B,96.57575757575758,100.0,33
ANA204_Y2_02_11,91.2290322580645,100.0,31
ANA204_Y2_02_12_A,92.10882352941177,100.0,34
ANA204_Y2_02_12_B,94.40967741935484,100.0,31
Acid-Base Titration Calculations: Hydrochloric Acid against Sodium Carbonate x Water,62.33837209302326,82.6,86
Acid-Base Titration Calculations: Sulfuric Acid against Sodium Hydroxide,70.18018867924529,95.45,106
Answering Assessment Questions_ Tips to Avoid Plagiarism (January Cohort)) (2024-07-05 14_07 GMT+1),29.48985507246377,18.8,276
Answering Assessment Questions_ Tips to Avoid Plagiarism (MAY Cohort)) (2024-07-05 13_14 GMT+1),27.555371900826444,20.0,121
BCH 202_Y2_02_01_A,93.01153846153846,100.0,52
BCH 202_Y2_02_01_B,94.48541666666667,100.0,48
BCH 202_Y2_02_01_C,93.55,100.0,42
BCH 202_Y2_02_09_A,91.61111111111111,100.0,36
BCH 202_Y2_02_09_B,93.75,100.0,32
BCH 202_Y2_02_10,93.42333333333333,100.0,30
BCH201LL_Y2_ 01_02,68.660103626943,100.0,193
BCH201LL_Y2_ 01_05,57.3456,80.4,125
BCH201LL_Y2_ 01_13,56.04210526315789,62.2,19
BCH201LL_Y2_ 01_14,42.18571428571429,9.200000000000001,14
BCH201LL_Y2_01_01,80.43031674208144,100.0,221
